identifier,pols_balance
6RgWZDmGBOj1L2pSWe95PElQw2paAN,328.523257
djB4nO3YklpELyRSww0XNZz8w57M1q,3001
eVA7ngYQ2WpKxORS849y54PaOj1ZGb,11.17068811
qRvg1Be2r6GaLoOSZoLYKdp4nwmlA7,0.00001608235392
vJGzRrdBgmAlLZWSAm0PkqpnZwj7oD,11.17068811
2PJ548MpQrNX0JjSg80eDl6GzbaRqn,7.035507899
VqAbzgR82wre9zlSJvL1OaZEkpyW53,11.17068811
4PX5n3wv6qlrxjYSGm9Zp2M7VWygda,15000.13799
V4EYmXOMvlzW07qSOVxdyZp7JD6Ne8,12802.90545
27vwVn1Q64YO0BmS1gL3BRAjl8maMD,0.00000001
vG4oe5E2qnAO9VQS4q0XrYplam6V3k,54.63171937
wq28ZBQl1AnWx64SZD0M4pozDegOJb,4439.921962
rakEJwN1dWeYLRXSkp928Dy3zBvP7K,3095.714478
wogb2YrQ6pJAxlmSegLqN8B3eavOml,11.17068811
4m7DnNKabZAO9vBSr398Myz6J53vWg,3074.383471
KabnJ8mVyM3G0XNSQjxw5ZR1eDNW7Y,255.520221
XJ4bYGKnwlev0K7Sad0MkVz1ypR3Ea,85.29694638
q2W6DpjGJOPvxdeSRYL4mQoyVZzgXK,351.8778456
3kQyVE67NM4n9bPSrpLeGOW1qX2gYd,3000
jMGElwpKZqWk9QvSmRxy54aoBgbNY2,11.17068811
wQRlYJBjvXAK9DyS1zx7VZdmrbqn35,23.07197429
ed3a4PpOMYJm0N6SDe0D2X5jK8r7kZ,25600
Mk3zZjrl5O7Dx3nSBJ9NnoE1Ye6VbW,427.1545427
6n31vZykGbrVLWDSMk0ojmzlWO42pJ,4000.001865
WJwBXD1av6Ed0gAS6kxANnY2bmOrz7,10
D5WzXM3nZAgyxpoSvQ9er1OGQ2bVd7,70
2RyXqevdko4N9nySRJ0pP5JA6wVnaj,10
MElVo5r3QYAdxrJSv6xZNyJDBvO2mj,12.18381803
JYqVAE17ReWB0GZSm2LMNrKOlj6ZyQ,180.6352081
KbnMvkYNQ1Elx4rSV10q6y2mDrJGVW,2
rjMv8OQ3kny40qZS189Em2AepGVYbD,300
4lnQGwmg5q860PlSXV0BvjEebzoRZr,0.003487515
yaMAq4mz5XQNxaqSRGx1vPRnbD3EOW,11.17068811
BqpzWQ1EX37Z9k5SMZLPJyabVDAvM5,246.1778193
6QvbPdjMEgKyxwVSQq9OV381GRzBoq,105.1045396
pRZPJGME2rVw9eES4q9BzvXn5N3dab,3027.860467
XylVvMQDzk53xEOSaP0roweA7J8E1G,1465.167552
NZGyKMre28boL1gSyv9YWdXJR4j3kE,1.571612768
Yn2qB54ba7DR0A5SWa0k8ZvJ6lAeow,793.6778635
eG6JEOgajVz79MVSwOx2RXo8yYwM4A,11.17068811
pln8kwomKj3V98PSGl9PezE7Q6DMWd,45
VD2QPOjzmeyRLY3SOV94GXZE57wbnY,0.000000501
8jvnOaZbWJ2705GS2vxg4yAdXRQYwP,587.1894534
yGwbdPR2mnDO9m2S14xrA35oeBE8gN,3002.656938
6RgWZDmGBOj1L2pSpe95PElQw2paAN,11.17068811
